omschrijving;level;VT12;soort;importance;required;zichtbaar
Huurcommissiezaak op huurprijs;5;RentCommissionAuthorityCase;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Te facturereren bedrag;5;AmountInvoiced;Monetary;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huur op startdatum;5;StartingRent;Monetary;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Start betalingsschema;5;StartPaymentSchedule;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Einde betalingsschema;5;EndPaymentSchedule;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Voorschot;5;AdvancePayment;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Informatie over huurregelreferentie;5;ObjectLeaseChargeInformationReference;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huurregel referentie toegekend door;5;LeaseChargeReferenceAllocatedBy;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huurregel referentie toegekend door (beschrijving);5;LeaseChargeReferenceAllocatedByDescription;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Omschrijving unieke huurregel referentie;5;LeaseChargeReferenceDescription;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
