;E:\FINAN\24\models\v03\AS2-V03.tbl+

;Mapping AS2-V04	(JaB 06-08-2009, alfabetisch)
CORRVOORZVRD-2           TEMP_CORRVOORZVRD-2
CORRVOORZVRD-3           TEMP_CORRVOORZVRD-3
CORRVOORBETBEL-1         TEMP_CORRVOORBETBEL-1
CORRVOORBETBEL-2         TEMP_CORRVOORBETBEL-2
CORRVOORBETBEL-3         TEMP_CORRVOORBETBEL-3 
CORRVOORZDEB-1           TEMP_CORRDEBVOORZ-1 
CORRVOORZDEB-2           TEMP_CORRDEBVOORZ-2 
CORRVOORZDEB-3           TEMP_CORRDEBVOORZ-3   
CORRTEONTVWIR-1          TEMP_CORRTEONTVWIR-1
CORRTEONTVWIR-2          TEMP_CORRTEONTVWIR-2
CORRTEONTVWIR-3          TEMP_CORRTEONTVWIR-3
DIVBUITLASTEN-0       OVBUITLASTEN-0
DIVBUITLASTEN-1       OVBUITLASTEN-1
DIVBUITLASTEN-2       OVBUITLASTEN-2
DIVBUITLASTEN-3       OVBUITLASTEN-3
DIVVRDHERW-1          DIVVRDTAX-1
DIVVRDHERW-2          DIVVRDTAX-2
DIVVRDHERW-3          DIVVRDTAX-3
EIGENKANTOOROPV-1     KANTOOROPV-1
EIGENKANTOOROPV-2     KANTOOROPV-2
EIGENKANTOOROPV-3     KANTOOROPV-3
EIGENMAGOPV-1         MAGOPV-1
EIGENMAGOPV-2         MAGOPV-2
EIGENMAGOPV-3         MAGOPV-3
EIGENOVOPV-0          OVOPV-0
EIGENOVOPV-1          OVOPV-1
EIGENOVOPV-2          OVOPV-2
EIGENOVOPV-3          OVOPV-3
EIGENPRODOPV-1        PRODOPV-1
EIGENPRODOPV-2        PRODOPV-2
EIGENPRODOPV-3        PRODOPV-3
EIGENTERREINOPV-0     TERREINOPV-0
EIGENTERREINOPV-1     TERREINOPV-1
EIGENTERREINOPV-2     TERREINOPV-2
EIGENTERREINOPV-3     TERREINOPV-3
EIGENVERKOPV-1        VERKOPV-1
EIGENVERKOPV-2        VERKOPV-2
EIGENVERKOPV-3        VERKOPV-3
FINCRED-1             OVOVERLPAS-1
FINCRED-2             OVOVERLPAS-2
FINCRED-3             OVOVERLPAS-3
FINVASTAKTHERW-1      OVFINVATAX-1
FINVASTAKTHERW-2      OVFINVATAX-2
FINVASTAKTHERW-3      OVFINVATAX-3
FUNKTIEDIR-1             TEMP_FUNCTIONDIR-1     
FUNKTIEDIR2-1            TEMP_FUNCTIONDIR02-1
FUNKTIEDIR3-1            TEMP_FUNCTIONDIR03-1
FUNKTIEDIR4-1            TEMP_FUNCTIONDIR04-1
FUNKTIEDIR5-1            TEMP_FUNCTIONDIR05-1
HANDDEBHERWPERC-1	       TEMP_HANDDEBPERC-1
HANDDEBHERWPERC-2	       TEMP_HANDDEBPERC-2
HANDDEBHERWPERC-3	       TEMP_HANDDEBPERC-3
HANDVRDHERW-1         HANDVRDTAX-1
HANDVRDHERW-2         HANDVRDTAX-2
HANDVRDHERW-3         HANDVRDTAX-3
;HUURKANTOOROPV-1         KANTOOROPV-1
;HUURKANTOOROPV-2         KANTOOROPV-2
;HUURKANTOOROPV-3         KANTOOROPV-3
;HUURMAGOPV-1             MAGOPV-1
;HUURMAGOPV-2             MAGOPV-2
;HUURMAGOPV-3             MAGOPV-3
;HUUROVOPV-0              OVOPV-0
;HUUROVOPV-1              OVOPV-1
;HUUROVOPV-2              OVOPV-2
;HUUROVOPV-3              OVOPV-3
;HUURPRODOPV-1            PRODOPV-1
;HUURPRODOPV-2            PRODOPV-2
;HUURPRODOPV-3            PRODOPV-3
;HUURTERREINOPV-0         TERREINOPV-0
;HUURTERREINOPV-1         TERREINOPV-1
;HUURTERREINOPV-2         TERREINOPV-2
;HUURTERREINOPV-3         TERREINOPV-3
;HUURVERKOPV-1            VERKOPV-1
;HUURVERKOPV-2            VERKOPV-2
;HUURVERKOPV-3            VERKOPV-3
JURK-0                OVBUITLASTEN-0
JURK-1                OVBUITLASTEN-1
JURK-2                OVBUITLASTEN-2
JURK-3                OVBUITLASTEN-3
KORTPARTVORD-1           KORTGMVORD-1
KORTPARTVORD-2           KORTGMVORD-2
KORTPARTVORD-3           KORTGMVORD-3  
KORTPARTVORDAKTDOC-1     KORTGMVORDAKTDOC-1
KORTPARTVORDAKTDOC-2     KORTGMVORDAKTDOC-2
KORTPARTVORDAKTDOC-3     KORTGMVORDAKTDOC-3
KORTPARTVORDHERW-1    KORTPARTVORDTAX-1
KORTPARTVORDHERW-2    KORTPARTVORDTAX-2
KORTPARTVORDHERW-3    KORTPARTVORDTAX-3
;KRED6FIN-2               KRED5FIN-2        
;KRED6FREQ-1              KRED5FREQ-1       
;KRED6TIJD-2              KRED5TIJD-2       
;KRED7FIN-2               KRED5FIN-2        
;KRED7FREQ-1              KRED5FREQ-1       
;KRED7TIJD-2              KRED5TIJD-2       
LAATKRED-1            OVOVERLPAS-1
LAATKRED-2            OVOVERLPAS-2
LAATKRED-3            OVOVERLPAS-3
;LANGKRED6-1              LANGKRED5-1       
;LANGKRED7-1              LANGKRED5-1       
LANGPARTVORD-0        LENINGUG-0
LANGPARTVORD-1        LENINGUG-1
LANGPARTVORD-2        LENINGUG-2
LANGPARTVORD-3        LENINGUG-3
LANGPARTVORDAKTDOC-1     LENINGUGAKTDOC-1
LANGPARTVORDAKTDOC-2     LENINGUGAKTDOC-2
LANGPARTVORDAKTDOC-3     LENINGUGAKTDOC-3
MATVRDHERW-1          MATVRDTAX-1
MATVRDHERW-2          MATVRDTAX-2
MATVRDHERW-3          MATVRDTAX-3
NAHEFFINGEN-0         OVBUITLASTEN-0
NAHEFFINGEN-1         OVBUITLASTEN-1
NAHEFFINGEN-2         OVBUITLASTEN-2
NAHEFFINGEN-3         OVBUITLASTEN-3
ONDKRACHT-1              IRKRACHT-1        
ONDKRACHT-2              IRKRACHT-2        
ONDWERKHERW-1         ONDWERKTAX-1
ONDWERKHERW-2         ONDWERKTAX-2
ONDWERKHERW-3         ONDWERKTAX-3
OVCHEQUEK-1           ROVKORTKRED-1
OVCHEQUEK-2           ROVKORTKRED-2
OVCHEQUEK-3           ROVKORTKRED-3
OVFINVASTAKT-0        OVFINVA-0
OVFINVASTAKT-1        OVFINVA-1
OVFINVASTAKT-2        OVFINVA-2
OVFINVASTAKT-3        OVFINVA-3
OVKORTKRED2-0         OVOVERLPAS-0
OVKORTKRED2-1         OVOVERLPAS-1
OVKORTKRED2-2         OVOVERLPAS-2
OVKORTKRED2-3         OVOVERLPAS-3
OVKORTKRED3-0         OVOVERLPAS-0
OVKORTKRED3-1         OVOVERLPAS-1
OVKORTKRED3-2         OVOVERLPAS-2
