;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT2016(BankRptWoz)"

"Sort";"ID";"Level";"Label nl";"Label en";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation nl";"Documentation en";"Ddef.Guidance nl";"Ddef.Guidance en";"References"
21;"bank-abstracts:IntermediaryTitle";2;"   Intermediair";"   Intermediary title";"";"IntermediaryTitle";"bank-abstracts";"IntermediaryTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#IntermediaryTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
22;"bank-cd:NameIntermediary";3;"      Naam";"      Name intermediary";"http://www.xbrl.org/2003/role/terseLabel";"NameIntermediary";"bank-cd";"NameIntermediary";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#NameIntermediary";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"Naam kantoor intermediair.";"";"Naam van het kantoor van de financiële intermediair (accountant, fiscalist, boekhoudkantoor).";"";""
23;"bank-cd:DomicileIntermediary";3;"      Vestigingsplaats";"      Domicile intermediary";"http://www.xbrl.org/2003/role/terseLabel";"DomicileIntermediary";"bank-cd";"DomicileIntermediary";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#DomicileIntermediary";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"Vestigingsplaats intermediair.";"";"De vestigingsplaats van de financiële intermediair (accountant, fiscalist, boekhoudkantoor).";"";""
24;"bank-cd:NameCompiler";3;"      Naam opsteller";"      Name compiler";"";"NameCompiler";"bank-cd";"NameCompiler";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#NameCompiler";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"De naam van de opsteller (natuurlijk persoon) met toevoeging van (relevante) titels.";"";"De naam van de opsteller (natuurlijk persoon) van de rapportage met toevoeging van (relevante) titels.";"";""
25;"bank-cd:EmailAddressIntermediary";3;"      E-mailadres";"      Email address intermediary";"http://www.xbrl.org/2003/role/terseLabel";"EmailAddressIntermediary";"bank-cd";"EmailAddressIntermediary";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#EmailAddressIntermediary";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"Het e-mailadres van de intermediair.";"";"Het e-mailadres van de financiële intermediair.";"";""
26;"bank-abstracts:BankInformationTitle";2;"   Bank informatie";"   Bank information title";"";"BankInformationTitle";"bank-abstracts";"BankInformationTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#BankInformationTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
27;"bank-cd:DestinationBank";3;"      Bestemmende bank";"      Destination bank";"";"DestinationBank";"bank-cd";"DestinationBank";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#DestinationBank";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:DestinationBankItemType";"DestinationBank";"xbrli:stringItemType";"Enumeration";"0";"";"ABN AMRO Bank|ING Bank|Rabobank|Overig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"De naam van de bank waarvoor de rapportage bestemd is.";"";"De naam van de bank waarvoor de rapportage bestemd is. Indien de rapportage bestemd is voor een bank waarvan de naam niet is opgenomen in de gespecificeerde lijst dan ""Overig"" invullen.";"";""
28;"bank-tuples:BankAccountsSpecification";3;"      Bankrekening gegevens";"      Bank accounts";"http://www.xbrl.org/2003/role/terseLabel";"BankAccountsSpecification";"bank-tuples";"BankAccountsSpecification";"https://www.sbrbanken.nl/BT2016/domein/bank/tuples/bank-tuples#BankAccountsSpecification";"xbrli:tuple";1;1;0;;"0";"0";"0";"-1";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";0;0;"";"";"";"";""
29;"bank-cd:BankName";4;"         Naam bank";"         Bank name";"";"BankName";"bank-cd";"BankName";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#BankName";"xbrli:item";1;0;0;"bank-tuples:BankAccountsSpecification";"1";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"1";;;;;;;;;;;;"Duration";"None";0;0;"De naam van de bank.";"";"De naam van de bank.";"";""
30;"bank-cd:AccountNumberBank";4;"         Zakelijk rekeningnummer";"         Account number bank";"";"AccountNumberBank";"bank-cd";"AccountNumberBank";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#AccountNumberBank";"xbrli:item";1;0;0;"bank-tuples:BankAccountsSpecification";"1";"1";"0";"0";"bank-types:nlIbanItemType";"nlIban";"xbrli:stringItemType";"String";"1";"(NL[0-9]{2}[a-zA-Z]{4}[0-9]{10})";"";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"18-tekens (cijfers en letters) tellend IBAN nummer.";"";"Het rekeningnummer van de bankrekening dat door de onderneming wordt gebruikt in relatie tot het te verstrekken/verstrekte krediet. Het uit 18 tekens (cijfers en letters) bestaande IBAN nummer moet hier worden ingevuld.";"";""
