1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
70;Juridische informatie van het object;5;ObjectLegalInformation;ObjectLegalInformation;Abstract;;; ;3;;;;;;;;3
71;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
72;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
73;Recht van opstal;5;RightOfResidence;RightOfResidence;Enumeration;; ; ;3;;;;;;;;2
74;Rijksmonument;5;NationalMonument;NationalMonument;Enumeration;; ; ;3;;;;;;;;3
75;Provinciaal monument;5;ProvinceMonument;ProvinceMonument;Enumeration;; ; ;3;;;;;;;;3
76;Gemeentelijk monument;5;CountyMonument;CountyMonument;Enumeration;; ; ;3;;;;;;;;3
77;Beschermde stads/dorpsgezicht;5;ProtectedCountyView;ProtectedCountyView;Enumeration;; ; ;3;;;;;;;;3
78;Kadastrale aanduiding percelen object;5;ObjectLandRegisterParcels;ObjectLandRegisterParcels;Abstract;;; ;3;;;;;;;;3
79;Interne id van het perceel [as];5;InternalIDParcelAxis;InternalIDParcelAxis;Abstract;;; ;3;;;;;;;;3
80;Interne id van het perceel [typed member];5;InternalIDParcelTypedMember;InternalIDParcelTypedMember;String;;; ;3;;;;;;;;3
81;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
82;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;; ;3;;;;;;;;3
83;Kadastrale eigenaar;5;OwnerAccordingToLandRegister;OwnerAccordingToLandRegister;String;; ; ;3;;;;;;;;2
84;Registratienummer bij de Kamer van Koophandel van de eigenaar;5;OwnerChamberOfCommerceRegistrationNumber;OwnerChamberOfCommerceRegistrationNumber;String;; ; ;3;;;;;;;;2
85;Kadastrale gemeente;5;CountyLandRegister;CountyLandRegister;String;; ; ;3;;;;;;;;3
86;Kadastrale gemeente sectie;5;CountyLandRegisterSection;CountyLandRegisterSection;String;; ; ;3;;;;;;;;3
87;Kadastrale gemeente nummer;5;CountyLandRegisterNumber;CountyLandRegisterNumber;String;; ; ;3;;;;;;;;3
88;Kadastrale gemeente index appartements nummer;5;CountyLandRegisterIndexNumberAppartmentRight;CountyLandRegisterIndexNumberAppartmentRight;String;; ; ;3;;;;;;;;3
89;Type eigendomsrecht;5;GroundInterest;GroundInterest;Enumeration;; ; ;3;;;;;;;;2
90;Een grondstuk kan meerdere eigenaren hebben, alleen het percentage van de gerapporteerde eigenaar wordt opgenomen. Op gebouwniveau wordt het oppervlakte gewogen met de oppervlakte van de percelen.;5;OwnershipPercentage;OwnershipPercentage;Number;; ; ;3;;;;;;;;2
91;Het perceel oppervlakte zoals bekend bij het kadaster;5;LandRegisterArea;LandRegisterArea;String;; ; ;3;;;;;;;;2
92;Kadastrale aanduiding percelen verkoopinformatie object;5;ObjectLandRegisterParcelSalesInformation;ObjectLandRegisterParcelSalesInformation;Abstract;; ; ;3;;;;;;;;3
93;Interne id van het perceel [as];5;InternalIDParcelAxis;InternalIDParcelAxis;Abstract;; ; ;3;;;;;;;;3
